time,x,y,speed,acc,steer,body_angle
0,-576.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
1,-574.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
2,-572.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
3,-570.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
4,-568.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
5,-566.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
6,-564.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
7,-562.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
8,-560.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
9,-558.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
10,-556.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
11,-554.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
12,-552.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
13,-550.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
14,-548.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
15,-546.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
16,-544.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
17,-542.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
18,-540.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
19,-538.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
20,-536.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
21,-534.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
22,-532.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
23,-530.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
24,-528.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
25,-526.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
26,-524.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
27,-522.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
28,-520.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
29,-518.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
30,-516.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
31,-514.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
32,-512.9234059331189,-57.33983848622454,20.0,-3.0,0.0,0.0
33,-510.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
34,-508.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
35,-506.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
36,-504.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
37,-502.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
38,-500.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
39,-498.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
40,-496.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
41,-494.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
42,-492.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
43,-490.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
44,-488.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
45,-486.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
46,-484.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
47,-482.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
48,-480.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
49,-478.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
50,-476.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
51,-474.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
52,-472.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
53,-470.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
54,-468.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
55,-466.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
56,-464.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
57,-462.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
58,-460.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
59,-458.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
60,-456.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
61,-454.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
62,-452.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
63,-450.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
64,-448.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
65,-446.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
66,-444.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
67,-442.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
68,-440.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
69,-438.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
70,-436.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
71,-434.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
72,-432.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
73,-430.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
74,-428.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
75,-426.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
76,-424.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
77,-422.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
78,-420.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
79,-418.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
80,-416.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
81,-414.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
82,-412.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
83,-410.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
84,-408.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
85,-406.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
86,-404.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
87,-402.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
88,-400.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
89,-398.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
90,-396.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
91,-394.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
92,-392.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
93,-390.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
94,-388.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
95,-386.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
96,-384.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
97,-382.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
98,-380.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
99,-378.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
100,-376.92340593311894,-57.33983848622454,20.0,-3.0,0.0,0.0
