time,x,y,speed,acc,steer,body_angle
0,-494.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
1,-492.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
2,-490.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
3,-488.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
4,-486.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
5,-484.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
6,-482.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
7,-480.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
8,-478.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
9,-476.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
10,-474.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
11,-472.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
12,-470.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
13,-468.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
14,-466.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
15,-464.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
16,-462.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
17,-460.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
18,-458.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
19,-456.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
20,-454.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
21,-452.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
22,-450.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
23,-448.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
24,-446.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
25,-444.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
26,-442.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
27,-440.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
28,-438.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
29,-436.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
30,-434.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
31,-432.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
32,-430.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
33,-428.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
34,-426.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
35,-424.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
36,-422.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
37,-420.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
38,-418.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
39,-416.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
40,-414.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
41,-412.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
42,-410.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
43,-408.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
44,-406.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
45,-404.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
46,-402.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
47,-400.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
48,-398.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
49,-396.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
50,-394.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
51,-392.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
52,-390.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
53,-388.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
54,-386.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
55,-384.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
56,-382.2464022464351,-57.33983848622454,20.0,-3.0,0.0,0.0
