time,x,y,speed,acc,steer,body_angle
0,-458.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
1,-456.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
2,-454.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
3,-452.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
4,-450.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
5,-448.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
6,-446.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
7,-444.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
8,-442.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
9,-440.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
10,-438.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
11,-436.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
12,-434.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
13,-432.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
14,-430.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
15,-428.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
16,-426.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
17,-424.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
18,-422.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
19,-420.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
20,-418.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
21,-416.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
22,-414.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
23,-412.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
24,-410.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
25,-408.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
26,-406.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
27,-404.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
28,-402.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
29,-400.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
30,-398.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
31,-396.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
32,-394.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
33,-392.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
34,-390.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
35,-388.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
36,-386.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
37,-384.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
38,-382.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
39,-380.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
40,-378.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
41,-376.3775150556269,-57.33983848622454,20.0,-3.0,0.0,0.0
42,-374.39872571575387,-57.17872752733119,20.0,-3.0,0.0,0.2617993877991494
43,-372.46687406317574,-56.66108943712615,20.0,-3.0,0.0,0.2617993877991494
44,-370.5350224105976,-56.14345134692111,20.0,-3.0,0.0,0.2617993877991494
45,-368.6031707580195,-55.62581325671607,20.0,-3.0,0.0,0.2617993877991494
46,-366.67131910544134,-55.10817516651103,20.0,-3.0,0.0,0.2617993877991494
47,-364.7394674528632,-54.59053707630599,20.0,-3.0,0.0,0.2617993877991494
48,-362.8076158002851,-54.07289898610095,20.0,-3.0,0.0,0.2617993877991494
49,-360.87576414770695,-53.55526089589591,20.0,-3.0,0.0,0.2617993877991494
50,-358.9439124951288,-53.03762280569087,20.0,-3.0,0.0,0.2617993877991494
51,-357.0120608425507,-52.51998471548583,20.0,-3.0,0.0,0.2617993877991494
52,-355.08020918997255,-52.00234662528079,20.0,-3.0,0.0,0.2617993877991494
53,-353.1483575373944,-51.484708535075754,20.0,-3.0,0.0,0.2617993877991494
54,-351.2165058848163,-50.967070444870714,20.0,-3.0,0.0,0.2617993877991494
55,-349.28465423223815,-50.449432354665674,20.0,-3.0,0.0,0.2617993877991494
56,-347.35280257966,-49.931794264460635,20.0,-3.0,0.0,0.2617993877991494
57,-345.4209509270819,-49.414156174255595,20.0,-3.0,0.0,0.2617993877991494
